delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,polygon.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,beeeep.started,beeeep.stopped,beep.stopped,response.started,text.started,textbox.started,mouse.started,button.started,response.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.7,1000,exp,1,8,20,5,122.6596121,,122.6522427,122.6596121,122.7596647,123.6594895,123.6594895,123.8294613,space,0.1537356,None,123.8311157,124.5425236,,124.7945587,124.7945793,124.8086693,124.8086693,0.0005268,124.8086693,127.5789988,200,[0.02],[-0.32666666666666666],[1],[0],[0],[2.7830871999999545],1,[2.7831994999999097],[2.7832052999999632],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,1000,exp,1,9,21,9,127.5922205,,127.5878972,127.5922205,127.6923847,128.5921979,128.5921979,128.9956772,space,0.4017509,None,128.9972802,129.1087006,129.4089935,129.3952333,129.3952542,129.4089935,129.4089935,0.0005429,129.4089935,132.6949025,50,[0.02],[-0.32666666666666666],[1],[0],[0],[3.2983514000000014],1,[3.2984570999999505],[3.298462299999983],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,400,unexp,1,10,22,1,132.7084123,,132.7010968,132.7084123,132.8083301,133.7081321,133.7081321,133.7945117,space,0.0843158,None,133.7961168,134.2079691,134.5079792,134.4994649,134.4994835,134.5079792,134.5079792,0.0004664,134.5079792,137.4620587,400,[0.02],[-0.32666666666666666],[1],[0],[0],[2.961195000000089],1,[2.9613542999998117],[2.9613616999999977],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,400,unexp,1,11,23,2,137.4744121,,137.468534,137.4744121,137.574345,138.4742289,138.4742289,138.5611784,space,0.0759949,None,138.5627597,139.2741262,139.589851,139.5685029,139.5685225,139.589851,139.589851,0.0005475,139.589851,142.9434777,200,[0.02],[-0.32666666666666666],[1],[0],[0],[3.3737332000000606],1,[3.3738396999999622],[3.373845000000074],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,1000,exp,2,0,24,10,142.9573149,,142.9496838,142.9573149,143.0569937,143.9569319,143.9569319,143.9930061,space,0.0237486,None,143.9946151,144.4066672,144.7068939,144.6960748,144.6960924,144.7068939,144.7068939,0.0004742,144.7068939,147.509392,100,[0.02],[-0.32666666666666666],[1],[0],[0],[2.8121426000000156],1,[2.812247800000023],[2.812253300000066],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,1000,exp,2,1,25,11,147.5232987,,147.5156614,147.5232987,147.622943,148.523045,148.523045,148.8622119,space,0.3304489,None,148.8652148,149.5733312,149.8887054,149.8696327,149.8696567,149.8887054,149.8887054,0.0006098,149.8887054,151.7447342,200,[0.02],[-0.32666666666666666],[1],[0],[0],[1.8735285999998723],1,[1.873705199999904],[1.873713700000053],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,1000,exp,2,2,26,8,151.7719181,,151.7522603,151.7719181,151.8564622,152.756316,152.7724219,153.1090462,space,0.3420846,None,153.1109399,153.8222948,,154.1092214,154.1092446,154.1216817,154.1216817,0.0006334,154.1216817,158.4923542,100,[0.02],[-0.32666666666666666],[1],[0],[0],[4.381548800000019],1,[4.381689699999924],[4.381697099999883],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,400,unexp,2,3,27,0,158.5049622,,158.4989682,158.5049622,158.604809,159.504766,159.504766,160.6078703,space,1.0863649,None,160.609635,160.7218663,161.0375167,161.0193623,161.0193884,161.0375167,161.0375167,0.0009013,161.0375167,163.8911172,100,[0.02],[-0.32666666666666666],[1],[0],[0],[2.8700745999999526],1,[2.8701977999999144],[2.87020369999982],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,1000,exp,2,4,28,4,163.9042745,,163.8978342,163.9042745,164.0042214,164.9040607,164.9040607,165.0566662,space,0.1456991,None,165.058248,165.470683,165.7875314,165.7708259,165.7708454,165.7875314,165.7875314,0.0006264,165.7875314,167.6902644,400,[0.02],[-0.32666666666666666],[1],[0],[0],[1.9180916000000252],1,[1.9182003999999324],[1.9182054999998854],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,1000,exp,2,5,29,7,167.703774,,167.6966062,167.703774,167.8039479,168.7036394,168.7036394,177.1054321,space,8.3928305,None,177.1071102,177.5190862,177.8351328,177.8173701,177.817408,177.8351328,177.8351328,0.0008286,177.8351328,180.4562055,200,[0.02],[-0.32666666666666666],[1],[0],[0],[2.637250300000005],1,[2.6373616999999285],[2.6373676999999134],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
